iter	MultiClass
0	1.092107043
1	1.086824564
2	1.081823592
3	1.074473481
4	1.068785571
5	1.063745007
6	1.058124201
7	1.052869955
8	1.047836975
9	1.04313329
10	1.039422975
11	1.034427626
12	1.030388343
13	1.026307396
14	1.022578418
15	1.019114422
16	1.015826193
17	1.01160741
18	1.007633191
19	1.004933277
20	1.002076912
21	0.9988558921
22	0.9964078029
23	0.9937234699
24	0.9907970527
25	0.9886127777
26	0.9865028735
27	0.9840899005
28	0.9816704018
29	0.9790126671
30	0.9766493629
31	0.9749476119
32	0.9728058292
33	0.9708198326
34	0.9686633052
35	0.9665286936
36	0.9645714997
37	0.9623378609
38	0.960123703
39	0.9585743751
40	0.9568298863
41	0.9551777335
42	0.953362001
43	0.9517461782
44	0.949816329
45	0.948579964
46	0.9469522527
47	0.945615421
48	0.9436484504
49	0.9417127409
50	0.9401913571
51	0.9385919943
52	0.9368288412
53	0.9354968896
54	0.9342566321
55	0.9325509253
56	0.9309809668
57	0.9296404185
58	0.9283302372
59	0.9267287933
60	0.9250501606
61	0.9236341653
62	0.9223329795
63	0.9209214932
64	0.9198101251
65	0.9188357504
66	0.9175641782
67	0.9163685174
68	0.9153465475
69	0.9140681856
70	0.9130144146
71	0.9120278459
72	0.9107997918
73	0.9099906061
74	0.9086767085
75	0.9075522325
76	0.906353688
77	0.9052944412
78	0.9042054371
79	0.9028919298
80	0.9017983606
81	0.9006828609
82	0.899793029
83	0.8988692716
84	0.8977292409
85	0.896754933
86	0.8956520045
87	0.8946016091
88	0.8934439624
89	0.8924328259
90	0.8915954886
91	0.8908039062
92	0.8898696177
93	0.8889260373
94	0.8884144906
95	0.8875877952
96	0.8867741295
97	0.8855509022
98	0.884763716
99	0.8840538063
100	0.8831418813
101	0.8822119601
102	0.8813098125
103	0.880620914
104	0.8796708512
105	0.8786722591
106	0.8774954935
107	0.876558415
108	0.8756411592
109	0.8749308296
110	0.8744613202
111	0.8740042254
112	0.8730431931
113	0.8723275811
114	0.8714693755
115	0.8707658549
116	0.8699193618
117	0.869428845
118	0.8686406464
119	0.8678976284
120	0.8671363229
121	0.8666520758
122	0.8658604853
123	0.8647800817
124	0.8641009682
125	0.8633568369
126	0.862657315
127	0.861918001
128	0.8612984492
129	0.8606626173
130	0.8599565154
131	0.85936813
132	0.8587891198
133	0.8580902399
134	0.8574809585
135	0.8567757837
136	0.856305472
137	0.8555807322
138	0.854743448
139	0.8540692247
140	0.8531637813
141	0.8526972022
142	0.8523043342
143	0.8517261904
144	0.8509301306
145	0.8503920123
146	0.8497840153
147	0.8491398663
148	0.848450137
149	0.8477669956
150	0.8472333121
151	0.8465814463
152	0.8459109208
153	0.8453569426
154	0.8449249471
155	0.8443935816
156	0.843930153
157	0.8431633217
158	0.8422673846
159	0.8416015733
160	0.8409160007
161	0.8402463875
162	0.839778805
163	0.8390870553
164	0.8385435762
165	0.8380196509
166	0.8374957664
167	0.8369508929
168	0.8363493786
169	0.8356199463
170	0.8352520366
171	0.8347772706
172	0.8343112073
173	0.8336938597
174	0.8332761189
175	0.8326783399
176	0.8321018343
177	0.831447153
178	0.8306873329
179	0.8299889742
180	0.8294202191
181	0.82893975
182	0.8283672651
183	0.8275359367
184	0.8267904184
185	0.826023738
186	0.8252718514
187	0.8245250829
188	0.8239217566
189	0.8232717113
190	0.8225437682
191	0.821893281
192	0.8210975325
193	0.8204502697
194	0.8198541256
195	0.8192937495
196	0.8187205559
197	0.8181661171
198	0.8176086722
199	0.8168289947
200	0.8162235138
201	0.8157554527
202	0.8151629605
203	0.8145090169
204	0.8138560612
205	0.8133681084
206	0.8125816717
207	0.8120160297
208	0.8114111472
209	0.810667184
210	0.809932523
211	0.809315614
212	0.8086920947
213	0.8080726158
214	0.8073579598
215	0.8066867061
216	0.8062430323
217	0.8055200192
218	0.8049757988
219	0.8044052675
220	0.8036365732
221	0.8029760507
222	0.8022656858
223	0.8016976774
224	0.8011275332
225	0.8005838984
226	0.7999534821
227	0.7992960086
228	0.798686301
229	0.7979792283
230	0.7974275048
231	0.7967149404
232	0.7961408706
233	0.7956174945
234	0.7949681385
235	0.7943655331
236	0.7936527706
237	0.7931687935
238	0.7926054475
239	0.7919324169
240	0.7914403311
241	0.7908517387
242	0.79021863
243	0.7896944805
244	0.7891859166
245	0.788470169
246	0.7878489013
247	0.7873270726
248	0.7866679608
249	0.786154779
250	0.7856676224
251	0.7852231742
252	0.7846758973
253	0.784143408
254	0.7835768772
255	0.7829652141
256	0.7825698045
257	0.7819850474
258	0.781536814
259	0.781006366
